hex_id,score
88281c1655fffff,1.0
88281cb1ebfffff,1.0
88281cb1e1fffff,1.0
88281cb1c7fffff,1.0
88281cb1e3fffff,1.0
88281cb18dfffff,1.0
88281c8e29fffff,1.0
88281c8e61fffff,1.0
88281c8e67fffff,1.0
88281c8f5bfffff,1.0
88281c8e65fffff,1.0
88281c8e63fffff,1.0
88281cbb61fffff,1.0
88281cbb67fffff,1.0
88281cbb69fffff,1.0
88281ca265fffff,1.0
88281ca261fffff,1.0
88281cb1b3fffff,1.0
88281c1751fffff,1.0
88281c1743fffff,0.5
88281c175dfffff,1.0
88281c1755fffff,1.0
88281c174bfffff,1.0
88281cb99bfffff,1.0
88281cb8a7fffff,1.0
88281cb8a5fffff,1.0
88281cb8a3fffff,1.0
88281caa49fffff,1.0
88281cb8a1fffff,1.0
88281cba45fffff,1.0
88281cba6bfffff,1.0
88281cba0dfffff,1.0
88281cba47fffff,1.0
88281cba09fffff,1.0
88281cba41fffff,1.0
88281cba43fffff,1.0
88281cb9c7fffff,1.0
88281cb9c5fffff,1.0
88281cb9cdfffff,1.0
88281cb9c1fffff,1.0
88281cb9cbfffff,1.0
88281cb9c3fffff,1.0
88281cb04bfffff,1.0
88281cb049fffff,1.0
88281cb05dfffff,1.0
88281cb041fffff,1.0
88281cb237fffff,0.8
88281cbad9fffff,1.0
88281cb1e7fffff,1.0
88281cbad1fffff,1.0
88281cbadbfffff,1.0
88281cb1adfffff,1.0
88281cb1e5fffff,1.0
88281cb967fffff,1.0
88281c165bfffff,1.0
88281cb925fffff,1.0
88281c1653fffff,1.0
88281cb92dfffff,1.0
88281cb921fffff,1.0
88281cb929fffff,1.0
88281cb161fffff,1.0
88281cb16dfffff,1.0
88281cb167fffff,1.0
88281cba59fffff,1.0
88281cba5bfffff,1.0
88281c84b3fffff,1.0
88281cb165fffff,1.0
88281caa21fffff,1.0
88281caa27fffff,1.0
88281caa23fffff,1.0
88281caa3dfffff,1.0
88281caa2bfffff,1.0
88281ca849fffff,1.0
88281caa35fffff,1.0
88281c8ca5fffff,1.0
88281c164dfffff,1.0
88281c8ca3fffff,1.0
88281c8d9bfffff,1.0
88281c8ca1fffff,1.0
88281c1649fffff,1.0
88281c8ca7fffff,1.0
88281cb8e9fffff,1.0
88281cb817fffff,1.0
88281cb813fffff,1.0
88281cb811fffff,1.0
88281cb8c5fffff,1.0
88281cb81bfffff,1.0
88281c1483fffff,1.0
88281c1495fffff,1.0
88281c14b9fffff,1.0
88281c1481fffff,1.0
88281c1487fffff,1.0
88281cab31fffff,1.0
88281cab23fffff,1.0
88281cab07fffff,1.0
88281cab35fffff,1.0
88281cab39fffff,1.0
88281cab2bfffff,1.0
88281cab3dfffff,1.0
88281ca189fffff,1.0
88281ca1c1fffff,1.0
88281ca1c7fffff,1.0
88281ca1c3fffff,1.0
88281c8e33fffff,1.0
88281c8ee1fffff,1.0
88281c8ee5fffff,1.0
88281c8ee9fffff,1.0
88281c8eedfffff,1.0
88281c16cdfffff,1.0
88281c16cbfffff,1.0
88281c16c1fffff,1.0
88281cb927fffff,1.0
88281c16c9fffff,1.0
88281c8dc7fffff,1.0
88281c8dcdfffff,1.0
88281c8dc1fffff,1.0
88281c8dc5fffff,1.0
88281c8dcbfffff,1.0
88281c8dc3fffff,1.0
88281c85e5fffff,1.0
88281c85adfffff,1.0
88281c8edbfffff,1.0
88281c8ed1fffff,1.0
88281c8ed9fffff,1.0
88281c85e7fffff,1.0
88281ca1d9fffff,1.0
88281ca1ddfffff,1.0
88281ca1dbfffff,0.4
88281ca033fffff,0.8
88281ca037fffff,1.0
88281ca1d1fffff,1.0
88281ca0e5fffff,0.4
88281c8dd7fffff,1.0
88281c8cadfffff,1.0
88281c8ddbfffff,1.0
88281c8d99fffff,1.0
88281c8dd3fffff,1.0
88281c8dd1fffff,1.0
88281c16b3fffff,1.0
88281c16b7fffff,1.0
88281c16b5fffff,1.0
88281c14d9fffff,1.0
88281c14cbfffff,1.0
88281c16b1fffff,1.0
88281c14ddfffff,1.0
88281c8e59fffff,1.0
88281c8567fffff,1.0
88281c8565fffff,1.0
88281c80b3fffff,1.0
88281c8e5bfffff,1.0
88281c8561fffff,1.0
88281c856dfffff,1.0
88281c1491fffff,1.0
88281c1497fffff,1.0
88281c14bbfffff,0.8
88281c8cb1fffff,1.0
88281caa31fffff,1.0
88281caa37fffff,1.0
88281cb803fffff,1.0
88281cb80dfffff,1.0
88281cb807fffff,1.0
88281cb801fffff,1.0
88281cb805fffff,1.0
88281cb913fffff,1.0
88281cb911fffff,1.0
88281cb91bfffff,1.0
